time,open,high,low,close
2026-03-04 20:08:54+00:00,93.212,93.224,93.202,93.219
2026-03-04 20:15:00+00:00,93.218,93.267,93.21,93.259
2026-03-04 20:30:00+00:00,93.255,93.294,93.244,93.281
2026-03-04 20:45:00+00:00,93.281,93.308,93.262,93.293
2026-03-04 21:00:00+00:00,93.292,93.303,93.257,93.302
2026-03-04 21:15:00+00:00,93.299,93.313,93.282,93.296
2026-03-04 21:30:00+00:00,93.296,93.306,93.252,93.279
2026-03-04 21:45:00+00:00,93.28,93.293,93.245,93.286
2026-03-04 22:00:00+00:00,93.26,93.311,93.219,93.265
2026-03-04 22:15:00+00:00,93.266,93.269,93.25,93.264
2026-03-04 22:30:00+00:00,93.264,93.303,93.26,93.266
2026-03-04 22:45:00+00:00,93.265,93.276,93.24,93.275
2026-03-04 23:00:00+00:00,93.274,93.341,93.274,93.306
2026-03-04 23:15:00+00:00,93.306,93.323,93.294,93.3
2026-03-04 23:30:00+00:00,93.3,93.302,93.261,93.286
2026-03-04 23:45:00+00:00,93.285,93.306,93.192,93.202
2026-03-05 00:00:00+00:00,93.202,93.219,93.107,93.123
2026-03-05 00:15:00+00:00,93.123,93.194,93.114,93.181
2026-03-05 00:30:00+00:00,93.182,93.187,93.148,93.155
2026-03-05 00:45:00+00:00,93.156,93.161,93.054,93.089
2026-03-05 01:00:00+00:00,93.09,93.138,93.06,93.126
2026-03-05 01:15:00+00:00,93.124,93.174,93.04,93.048
2026-03-05 01:30:00+00:00,93.047,93.067,92.954,92.961
2026-03-05 01:45:00+00:00,92.959,93.026,92.939,92.999
2026-03-05 02:00:00+00:00,92.999,93.081,92.979,93.06
2026-03-05 02:15:00+00:00,93.059,93.089,92.974,93.042
2026-03-05 02:30:00+00:00,93.042,93.146,93.037,93.128
2026-03-05 02:45:00+00:00,93.129,93.203,93.116,93.201
2026-03-05 03:00:00+00:00,93.203,93.275,93.192,93.214
2026-03-05 03:15:00+00:00,93.213,93.235,93.117,93.123
2026-03-05 03:30:00+00:00,93.125,93.126,93.016,93.071
2026-03-05 03:45:00+00:00,93.075,93.155,93.072,93.08
2026-03-05 04:00:00+00:00,93.08,93.155,93.069,93.118
2026-03-05 04:15:00+00:00,93.118,93.177,93.118,93.159
2026-03-05 04:30:00+00:00,93.16,93.175,93.098,93.107
2026-03-05 04:45:00+00:00,93.108,93.159,93.104,93.158
2026-03-05 05:00:00+00:00,93.157,93.196,93.09,93.14
2026-03-05 05:15:00+00:00,93.138,93.153,93.085,93.1
2026-03-05 05:30:00+00:00,93.1,93.112,93.039,93.047
2026-03-05 05:45:00+00:00,93.046,93.056,92.981,92.984
2026-03-05 06:00:00+00:00,92.985,93.015,92.925,92.994
2026-03-05 06:15:00+00:00,92.994,93.061,92.947,93.021
2026-03-05 06:30:00+00:00,93.028,93.05,92.963,92.986
2026-03-05 06:45:00+00:00,92.988,93.122,92.96,93.121
2026-03-05 07:00:00+00:00,93.12,93.152,93.07,93.088
2026-03-05 07:15:00+00:00,93.088,93.111,93.053,93.101
2026-03-05 07:30:00+00:00,93.101,93.161,93.08,93.141
2026-03-05 07:45:00+00:00,93.141,93.147,93.089,93.141
2026-03-05 08:00:00+00:00,93.144,93.151,92.941,92.948
2026-03-05 08:15:00+00:00,92.942,92.998,92.854,92.86
2026-03-05 08:30:00+00:00,92.86,92.906,92.816,92.904
2026-03-05 08:45:00+00:00,92.904,93.04,92.899,93.021
2026-03-05 09:00:00+00:00,93.021,93.32,92.993,93.274
2026-03-05 09:15:00+00:00,93.277,93.284,93.139,93.16
2026-03-05 09:30:00+00:00,93.16,93.16,93.025,93.118
2026-03-05 09:45:00+00:00,93.119,93.137,93.037,93.046
2026-03-05 10:00:00+00:00,93.049,93.095,93.039,93.058
2026-03-05 10:15:00+00:00,93.058,93.095,93.002,93.065
2026-03-05 10:30:00+00:00,93.066,93.123,93.046,93.065
2026-03-05 10:45:00+00:00,93.065,93.126,93.055,93.103
2026-03-05 11:00:00+00:00,93.103,93.244,93.101,93.234
2026-03-05 11:15:00+00:00,93.234,93.247,93.185,93.194
2026-03-05 11:30:00+00:00,93.194,93.207,93.161,93.189
2026-03-05 11:45:00+00:00,93.19,93.248,93.188,93.197
2026-03-05 12:00:00+00:00,93.202,93.239,93.157,93.222
2026-03-05 12:15:00+00:00,93.223,93.317,93.22,93.297
2026-03-05 12:30:00+00:00,93.296,93.314,93.241,93.247
2026-03-05 12:45:00+00:00,93.247,93.289,93.199,93.268
2026-03-05 13:00:00+00:00,93.267,93.302,93.243,93.3
2026-03-05 13:15:00+00:00,93.302,93.318,93.202,93.228
2026-03-05 13:30:00+00:00,93.231,93.237,93.159,93.216
2026-03-05 13:45:00+00:00,93.214,93.257,93.183,93.219
2026-03-05 14:00:00+00:00,93.219,93.234,93.127,93.165
2026-03-05 14:15:00+00:00,93.164,93.197,93.091,93.096
2026-03-05 14:30:00+00:00,93.094,93.162,92.979,92.983
2026-03-05 14:45:00+00:00,92.984,93.168,92.968,93.152
2026-03-05 15:00:00+00:00,93.153,93.193,92.994,93.077
2026-03-05 15:15:00+00:00,93.077,93.081,92.934,92.975
2026-03-05 15:30:00+00:00,92.975,92.976,92.884,92.94
2026-03-05 15:45:00+00:00,92.938,92.981,92.886,92.929
2026-03-05 16:00:00+00:00,92.932,92.94,92.682,92.741
2026-03-05 16:15:00+00:00,92.745,92.77,92.682,92.726
2026-03-05 16:30:00+00:00,92.723,92.851,92.706,92.821
2026-03-05 16:45:00+00:00,92.821,92.841,92.788,92.815
2026-03-05 17:00:00+00:00,92.818,92.891,92.764,92.811
2026-03-05 17:15:00+00:00,92.811,92.815,92.717,92.73
2026-03-05 17:30:00+00:00,92.723,92.785,92.662,92.746
2026-03-05 17:45:00+00:00,92.749,92.762,92.665,92.718
2026-03-05 18:00:00+00:00,92.719,92.76,92.675,92.739
2026-03-05 18:15:00+00:00,92.739,92.772,92.683,92.733
2026-03-05 18:30:00+00:00,92.733,92.862,92.728,92.835
2026-03-05 18:45:00+00:00,92.835,92.838,92.755,92.785
2026-03-05 19:00:00+00:00,92.785,92.817,92.764,92.797
2026-03-05 19:15:00+00:00,92.798,92.817,92.745,92.761
2026-03-05 19:30:00+00:00,92.761,92.774,92.696,92.749
2026-03-05 19:45:00+00:00,92.75,92.794,92.727,92.756
2026-03-05 20:00:00+00:00,92.758,92.843,92.721,92.811
2026-03-05 20:15:00+00:00,92.812,92.889,92.797,92.848
2026-03-05 20:30:00+00:00,92.847,92.919,92.841,92.907
2026-03-05 20:45:00+00:00,92.909,92.964,92.874,92.953
2026-03-05 21:00:00+00:00,92.951,92.951,92.903,92.907
2026-03-05 21:15:00+00:00,92.909,92.92,92.888,92.904
2026-03-05 21:30:00+00:00,92.902,92.912,92.883,92.9
2026-03-05 21:45:00+00:00,92.898,92.901,92.875,92.901
2026-03-05 22:00:00+00:00,92.899,93.88,92.881,92.889
2026-03-05 22:15:00+00:00,92.89,92.891,92.809,92.887
2026-03-05 22:30:00+00:00,92.889,92.927,92.884,92.914
2026-03-05 22:45:00+00:00,92.915,92.94,92.869,92.87
2026-03-05 23:00:00+00:00,92.87,92.924,92.831,92.9
2026-03-05 23:15:00+00:00,92.899,92.941,92.895,92.934
2026-03-05 23:30:00+00:00,92.934,92.948,92.894,92.894
2026-03-05 23:45:00+00:00,92.893,92.904,92.861,92.899
2026-03-06 00:00:00+00:00,92.898,93.011,92.833,93.005
2026-03-06 00:15:00+00:00,93.005,93.023,92.98,93.005
2026-03-06 00:30:00+00:00,93.005,93.014,92.977,92.986
2026-03-06 00:45:00+00:00,92.986,93.032,92.986,93.017
2026-03-06 01:00:00+00:00,93.017,93.115,92.994,93.102
2026-03-06 01:15:00+00:00,93.102,93.107,93.028,93.038
2026-03-06 01:30:00+00:00,93.041,93.092,93.036,93.058
2026-03-06 01:45:00+00:00,93.057,93.109,93.034,93.064
2026-03-06 02:00:00+00:00,93.065,93.139,93.065,93.118
2026-03-06 02:15:00+00:00,93.116,93.161,93.082,93.157
2026-03-06 02:30:00+00:00,93.157,93.166,93.109,93.119
2026-03-06 02:45:00+00:00,93.119,93.134,93.051,93.066
2026-03-06 03:00:00+00:00,93.062,93.118,93.062,93.079
2026-03-06 03:15:00+00:00,93.079,93.094,93.06,93.077
2026-03-06 03:30:00+00:00,93.077,93.092,93.033,93.049
2026-03-06 03:45:00+00:00,93.049,93.095,93.043,93.095
2026-03-06 04:00:00+00:00,93.095,93.124,93.079,93.098
2026-03-06 04:15:00+00:00,93.097,93.112,93.068,93.096
2026-03-06 04:30:00+00:00,93.096,93.119,93.07,93.111
2026-03-06 04:45:00+00:00,93.111,93.133,93.078,93.089
2026-03-06 05:00:00+00:00,93.09,93.148,93.084,93.137
2026-03-06 05:15:00+00:00,93.137,93.176,93.133,93.176
2026-03-06 05:30:00+00:00,93.176,93.202,93.146,93.191
2026-03-06 05:45:00+00:00,93.192,93.202,93.117,93.156
2026-03-06 06:00:00+00:00,93.154,93.215,93.154,93.173
2026-03-06 06:15:00+00:00,93.174,93.229,93.167,93.174
2026-03-06 06:30:00+00:00,93.174,93.259,93.172,93.24
2026-03-06 06:45:00+00:00,93.236,93.25,93.195,93.203
2026-03-06 07:00:00+00:00,93.197,93.235,93.158,93.175
2026-03-06 07:15:00+00:00,93.176,93.237,93.171,93.192
2026-03-06 07:30:00+00:00,93.192,93.221,93.174,93.206
2026-03-06 07:45:00+00:00,93.206,93.215,93.141,93.142
2026-03-06 08:00:00+00:00,93.141,93.148,93.06,93.087
2026-03-06 08:15:00+00:00,93.095,93.142,93.02,93.043
2026-03-06 08:30:00+00:00,93.042,93.101,93.035,93.096
2026-03-06 08:45:00+00:00,93.094,93.132,93.087,93.11
2026-03-06 09:00:00+00:00,93.11,93.123,92.969,92.985
2026-03-06 09:15:00+00:00,92.985,92.99,92.861,92.878
2026-03-06 09:30:00+00:00,92.878,92.908,92.787,92.815
2026-03-06 09:45:00+00:00,92.815,92.823,92.694,92.703
2026-03-06 10:00:00+00:00,92.703,92.774,92.698,92.709
