trade_id,open_time,close_time,direction,entry_price,exit_price,stake,sl_price,atr,risk_amount,risk_pct,pnl_usd,result,reason,r_multiple,peak_r,balance_before,balance_after
226,2025-10-17 04:35:00,2025-10-17 05:10:00,BUY,5174.832,5204.474,6.685,5160.045,4.929,1.15,8.0,1.53,WIN,CHANDELIER,1.34,8.01,14.33,15.86
227,2025-10-17 05:20:00,2025-10-17 05:50:00,BUY,5216.224,5234.061857,5.775,5197.115286,6.369571,1.27,8.0,1.02,WIN,CHANDELIER,0.8,4.8,15.86,16.88
228,2025-10-17 09:55:00,2025-10-17 10:20:00,BUY,5220.9,5224.333893,7.985,5206.189071,4.903643,1.35,8.0,0.61,WIN,CHANDELIER,0.45,3.2,16.88,17.48
229,2025-10-17 10:25:00,2025-10-17 10:50:00,BUY,5233.033,5267.825857,7.09,5215.821786,5.737071,1.4,8.0,1.88,WIN,CHANDELIER,1.34,8.06,17.48,19.36
230,2025-10-18 06:55:00,2025-10-18 07:00:00,BUY,5280.62,5281.439607,8.23,5264.055929,5.521357,1.55,8.0,0.55,WIN,CHANDELIER,0.36,2.65,19.36,19.92
231,2025-10-18 07:20:00,2025-10-18 07:25:00,BUY,5300.127,5301.099036,8.995,5284.476643,5.216786,1.59,8.0,0.58,WIN,CHANDELIER,0.36,2.69,19.92,20.5
232,2025-10-18 07:30:00,2025-10-18 07:55:00,BUY,5310.675,5299.736,18.22,5294.745,5.31,1.64,8.0,-1.13,LOSS,CHANDELIER,-0.69,0.94,20.5,19.37
233,2025-10-18 08:10:00,2025-10-18 09:25:00,BUY,5305.125,5305.137357,5.555,5289.705429,5.139857,0.97,5.0,0.32,WIN,CHANDELIER,0.33,2.5,19.37,19.7
234,2025-10-18 10:15:00,2025-10-18 10:40:00,BUY,5296.887,5292.169214,15.62,5285.754214,3.710929,0.98,5.0,-0.42,LOSS,CHANDELIER,-0.42,1.73,19.7,19.28
235,2025-10-18 10:45:00,2025-10-18 11:00:00,BUY,5286.315,5291.496179,7.02,5274.213214,4.033929,0.96,5.0,0.53,WIN,CHANDELIER,0.55,3.78,19.28,19.81
236,2025-10-19 04:20:00,2025-10-19 04:35:00,BUY,5335.418,5334.803714,7.47,5323.628857,3.929714,0.99,5.0,0.3,WIN,CHANDELIER,0.31,2.34,19.81,20.11
237,2025-10-19 04:40:00,2025-10-19 05:15:00,BUY,5340.329,5347.306286,10.035,5326.060143,4.756286,1.61,8.0,0.93,WIN,CHANDELIER,0.58,3.97,20.11,21.04
238,2025-10-19 06:05:00,2025-10-19 06:55:00,BUY,5370.326,5356.7955,16.72,5352.3065,6.0065,1.68,8.0,-1.26,LOSS,CHANDELIER,-0.75,0.75,21.04,19.78
239,2025-10-19 07:00:00,2025-10-19 07:10:00,BUY,5353.054,5348.801643,16.12,5342.110643,3.647786,0.99,5.0,-0.38,LOSS,CHANDELIER,-0.39,1.83,19.78,19.39
240,2025-10-19 07:15:00,2025-10-19 07:40:00,BUY,5365.41,5357.717857,7.22,5351.004857,4.801714,0.58,3.0,-0.31,LOSS,CHANDELIER,-0.53,1.4,19.39,19.08
241,2025-10-19 10:35:00,2025-10-19 10:45:00,BUY,5406.733,5419.876,3.335,5391.2725,5.1535,0.57,3.0,0.43,WIN,CHANDELIER,0.76,4.55,19.08,19.52
242,2025-10-20 00:20:00,2025-10-20 01:10:00,BUY,5510.14,5525.402,5.525,5493.9235,5.4055,0.98,5.0,0.78,WIN,CHANDELIER,0.8,4.82,19.52,20.3
243,2025-10-20 01:15:00,2025-10-20 02:10:00,BUY,5532.726,5523.432214,17.84,5515.932214,5.597929,1.62,8.0,-0.9,LOSS,CHANDELIER,-0.55,1.34,20.3,19.4
244,2025-10-20 09:50:00,2025-10-20 10:05:00,BUY,5469.968,5480.725857,6.535,5456.431786,4.512071,0.97,5.0,0.71,WIN,CHANDELIER,0.73,4.38,19.4,20.11
245,2025-10-20 10:10:00,2025-10-20 10:50:00,BUY,5485.67,5491.398214,5.345,5468.465857,5.734714,1.01,5.0,0.5,WIN,CHANDELIER,0.5,3.5,20.11,20.61
246,2025-10-20 11:15:00,2025-10-20 12:15:00,BUY,5513.404,5503.309857,15.69,5494.087857,6.438714,1.65,8.0,-0.86,LOSS,CHANDELIER,-0.52,1.43,20.61,19.75
247,2025-10-20 12:20:00,2025-10-20 12:35:00,BUY,5506.388,5516.906,6.67,5492.7965,4.5305,0.99,5.0,0.71,WIN,CHANDELIER,0.72,4.32,19.75,20.46
248,2025-10-21 00:00:00,2025-10-21 01:20:00,BUY,5510.116,5503.698786,13.39,5496.081786,4.678071,1.02,5.0,-0.47,LOSS,CHANDELIER,-0.46,1.63,20.46,20.0
249,2025-10-21 06:25:00,2025-10-21 07:00:00,BUY,5472.691,5473.925643,7.19,5460.006571,4.228143,1.0,5.0,0.38,WIN,CHANDELIER,0.38,2.79,20.0,20.38
250,2025-10-21 07:05:00,2025-10-21 07:20:00,BUY,5479.084,5471.660714,11.91,5463.455714,5.209429,1.02,5.0,-0.48,LOSS,CHANDELIER,-0.48,1.58,20.38,19.89
251,2025-10-21 07:25:00,2025-10-21 09:15:00,BUY,5487.567,5502.133714,4.88,5468.915571,6.217143,0.99,5.0,0.72,WIN,CHANDELIER,0.72,4.34,19.89,20.61
252,2025-10-21 11:15:00,2025-10-21 11:40:00,BUY,5486.843,5477.3895,14.33,5473.6865,4.3855,1.03,5.0,-0.74,LOSS,CHANDELIER,-0.72,0.84,20.61,19.87
253,2025-10-21 11:45:00,2025-10-21 12:10:00,BUY,5477.829,5465.693571,14.95,5465.693571,4.045143,0.99,5.0,-0.99,LOSS,SL,-1.0,0.0,19.87,18.88
254,2025-10-22 01:35:00,2025-10-22 01:50:00,BUY,5421.09,5426.835393,4.405,5409.478071,3.870643,0.57,3.0,0.33,WIN,CHANDELIER,0.58,3.98,18.88,19.21
255,2025-10-22 01:55:00,2025-10-22 02:00:00,BUY,5441.334,5441.881607,5.19,5424.547929,5.595357,0.96,5.0,0.34,WIN,CHANDELIER,0.35,2.6,19.21,19.54
