trade_id,open_time,close_time,direction,entry_price,exit_price,stake,sl_price,atr,risk_amount,risk_pct,pnl_usd,result,reason,r_multiple,peak_r,balance_before,balance_after
1,2025-10-21 15:35:00,2025-10-21 15:45:00,SELL,7249.5,7262.2143,2850.93,7262.2143,12.7143,500.0,5.0,-500.0,LOSS,SL,-1.0,0.35,10000.0,9500.0
2,2025-10-27 17:20:00,2025-10-27 19:00:00,SELL,7343.5,7312.5,1367.905,7356.25,12.75,475.0,5.0,1052.45,WIN,CHANDELIER,2.22,4.43,9500.0,10552.45
3,2025-10-29 16:25:00,2025-10-29 16:35:00,SELL,7084.5,7096.7857,3042.51,7096.7857,12.2857,527.62,5.0,-527.62,LOSS,SL,-1.0,0.2,10552.45,10024.83
4,2025-11-03 18:30:00,2025-11-03 18:40:00,BUY,7163.5,7149.0,2476.31,7149.0,14.5,501.24,5.0,-501.24,LOSS,SL,-1.0,0.21,10024.83,9523.58
5,2025-11-04 18:05:00,2025-11-04 18:30:00,SELL,6980.5,6995.1786,1358.7,6995.1786,14.6786,285.71,3.0,-285.71,LOSS,SL,-1.0,0.95,9523.58,9237.88
6,2025-11-04 18:40:00,2025-11-04 19:10:00,SELL,6963.5,6978.0714,1324.4,6978.0714,14.5714,277.14,3.0,-277.14,LOSS,SL,-1.0,0.55,9237.88,8960.74
