trade_id,open_time,close_time,direction,entry_price,exit_price,stake,sl_price,atr,risk_amount,risk_pct,pnl_usd,result,reason,r_multiple,peak_r,balance_before,balance_after
1,2025-10-20 13:15:00,2025-10-20 13:20:00,SELL,42658.81,42767.4007,1964.2,42767.4007,108.5907,500.0,5.0,-500.0,LOSS,SL,-1.0,0.0,10000.0,9500.0
2,2025-10-24 17:45:00,2025-10-24 19:10:00,BUY,48655.07,48628.5446,953.255,48533.8479,121.2221,475.0,5.0,423.03,WIN,CHANDELIER,0.89,2.28,9500.0,9923.03
3,2025-10-25 16:15:00,2025-10-25 16:30:00,SELL,46656.89,46767.7814,2087.53,46767.7814,110.8914,496.15,5.0,-496.15,LOSS,SL,-1.0,1.2,9923.03,9426.88
4,2025-10-28 09:35:00,2025-10-28 09:40:00,BUY,48077.42,47966.9407,2051.15,47966.9407,110.4793,471.34,5.0,-471.34,LOSS,SL,-1.0,0.0,9426.88,8955.54
5,2025-11-01 15:30:00,2025-11-01 15:35:00,BUY,50015.0,49842.0457,776.93,49842.0457,172.9543,268.67,3.0,-268.67,LOSS,SL,-1.0,0.0,8955.54,8686.87
6,2025-11-08 10:55:00,2025-11-08 11:10:00,BUY,50760.41,50636.8857,1070.92,50636.8857,123.5243,260.61,3.0,-260.61,LOSS,SL,-1.0,0.64,8686.87,8426.26
