trade_id,open_time,close_time,direction,entry_price,exit_price,stake,sl_price,atr,risk_amount,risk_pct,pnl_usd,result,reason,r_multiple,peak_r,balance_before,balance_after
1,2025-10-16 07:15:00,2025-10-16 07:25:00,SELL,55262.2338,55434.99,15.99,55434.99,172.7562,5.0,5.0,-5.0,LOSS,SL,-1.0,0.93,100.0,95.0
2,2025-10-19 16:55:00,2025-10-19 17:00:00,SELL,55065.201,55260.1454,13.42,55260.1454,194.9444,4.75,5.0,-4.75,LOSS,SL,-1.0,0.0,95.0,90.25
3,2025-10-20 19:55:00,2025-10-20 20:25:00,BUY,57904.9027,57946.2497,3.955,57706.7629,198.1398,2.71,3.0,2.99,WIN,CHANDELIER,1.1,2.71,90.25,93.24
4,2025-10-21 14:45:00,2025-10-21 14:55:00,SELL,56315.2673,56498.5474,14.32,56498.5474,183.2801,4.66,5.0,-4.66,LOSS,SL,-1.0,0.82,93.24,88.58
5,2025-10-23 07:30:00,2025-10-23 07:50:00,BUY,60939.1456,60747.8736,14.11,60747.8736,191.272,4.43,5.0,-4.43,LOSS,SL,-1.0,0.9,88.58,84.15
6,2025-10-24 05:20:00,2025-10-24 06:50:00,SELL,56339.1177,55597.9601,3.51,56541.8432,202.7255,2.52,3.0,7.14,WIN,CHANDELIER,2.83,5.66,84.15,91.29
7,2025-10-24 08:10:00,2025-10-24 08:20:00,SELL,55427.0219,55597.4833,14.84,55597.4833,170.4614,4.56,5.0,-4.56,LOSS,SL,-1.0,0.23,91.29,86.73
8,2025-10-24 08:25:00,2025-10-24 10:50:00,SELL,55436.5495,54455.212,6.96,55609.2678,172.7183,4.34,5.0,16.66,WIN,CHANDELIER,3.84,7.68,86.73,103.39
9,2025-10-24 13:15:00,2025-10-24 13:20:00,SELL,53647.518,53822.7772,15.82,53822.7772,175.2593,5.17,5.0,-5.17,LOSS,SL,-1.0,0.0,103.39,98.22
10,2025-10-25 18:40:00,2025-10-25 21:00:00,SELL,53609.9759,53360.5557,7.115,53794.966,184.9901,4.91,5.0,8.22,WIN,CHANDELIER,1.67,3.85,98.22,106.44
11,2025-10-26 03:15:00,2025-10-26 09:00:00,SELL,51629.4591,50032.3257,7.09,51823.2007,193.7416,5.32,5.0,27.25,WIN,CHANDELIER,5.12,10.24,106.44,133.69
12,2025-10-26 10:00:00,2025-10-26 10:25:00,SELL,49895.5203,49938.5642,15.85,50063.8595,168.3392,10.7,8.0,9.33,WIN,CHANDELIER,0.87,2.24,133.69,143.02
13,2025-10-26 17:05:00,2025-10-26 17:10:00,SELL,50311.5534,50498.4349,30.8,50498.4349,186.8815,11.44,8.0,-11.44,LOSS,SL,-1.0,0.0,143.02,131.58
14,2025-10-29 10:30:00,2025-10-29 10:35:00,SELL,48807.8277,48978.4929,18.82,48978.4929,170.6652,6.58,5.0,-6.58,LOSS,SL,-1.0,0.0,131.58,125.0
15,2025-10-29 20:30:00,2025-10-29 20:35:00,SELL,48396.9619,48568.0127,10.61,48568.0127,171.0508,3.75,3.0,-3.75,LOSS,SL,-1.0,0.0,125.0,121.25
16,2025-10-29 21:25:00,2025-10-29 22:45:00,SELL,48324.4953,47798.4451,5.01,48499.8798,175.3845,3.64,3.0,9.09,WIN,CHANDELIER,2.5,5.0,121.25,130.34
