trade_id,open_time,close_time,direction,entry_price,exit_price,stake,sl_price,atr,risk_amount,risk_pct,pnl_usd,result,reason,r_multiple,peak_r,balance_before,balance_after
1,2025-10-21 13:30:00,2025-10-21 13:35:00,BUY,76903.0,76867.7857,10919.29,76867.7857,35.2143,500.0,5.0,-500.0,LOSS,SL,-1.0,0.0,10000.0,9500.0
2,2025-10-22 12:30:00,2025-10-22 12:40:00,BUY,76776.0,76751.3571,14798.85,76751.3571,24.6429,475.0,5.0,-475.0,LOSS,SL,-1.0,0.0,9500.0,9025.0
3,2025-10-24 13:05:00,2025-10-24 13:15:00,SELL,76457.0,76481.3571,8498.83,76481.3571,24.3571,270.75,3.0,-270.75,LOSS,SL,-1.0,0.04,9025.0,8754.25
4,2025-10-25 09:35:00,2025-10-25 09:40:00,SELL,76478.0,76505.7857,7228.62,76505.7857,27.7857,262.63,3.0,-262.63,LOSS,SL,-1.0,0.0,8754.25,8491.62
