trade_id,open_time,close_time,direction,entry_price,exit_price,stake,sl_price,atr,risk_amount,risk_pct,pnl_usd,result,reason,r_multiple,peak_r,balance_before,balance_after
1,2025-09-21 13:20:00,2025-09-21 14:05:00,BUY,2862.182,2858.8889,4345.67,2858.8889,3.2931,500.0,5.0,-500.0,LOSS,SL,-1.0,1.82,10000.0,9500.0
2,2025-09-29 09:05:00,2025-09-29 09:10:00,SELL,2713.444,2716.6719,3992.92,2716.6719,3.2279,475.0,5.0,-475.0,LOSS,SL,-1.0,0.0,9500.0,9025.0
3,2025-10-17 16:00:00,2025-10-17 16:10:00,SELL,2494.423,2497.3322,2321.47,2497.3322,2.9092,270.75,3.0,-270.75,LOSS,SL,-1.0,0.23,9025.0,8754.25
4,2025-10-19 15:50:00,2025-10-19 16:20:00,SELL,2442.853,2443.3739,1181.26,2445.5686,2.7156,262.63,3.0,237.44,WIN,CHANDELIER,0.9,2.31,8754.25,8991.69
5,2025-10-19 17:25:00,2025-10-19 20:20:00,SELL,2441.508,2433.4217,1937.035,2444.3414,2.8334,449.58,5.0,1091.13,WIN,CHANDELIER,2.43,4.85,8991.69,10082.82
6,2025-10-23 15:40:00,2025-10-23 16:40:00,BUY,2493.632,2499.5881,4551.915,2491.4226,2.2094,806.63,8.0,1893.87,WIN,CHANDELIER,2.35,4.7,10082.82,11976.69
7,2025-10-30 17:30:00,2025-10-30 18:50:00,SELL,2399.546,2388.3637,4478.41,2402.1129,2.5669,958.13,8.0,3045.15,WIN,CHANDELIER,3.18,6.36,11976.69,15021.83
8,2025-11-06 18:05:00,2025-11-06 18:15:00,BUY,2549.739,2547.1368,11775.13,2547.1368,2.6022,1201.75,8.0,-1201.75,LOSS,SL,-1.0,0.63,15021.83,13820.09
9,2025-11-09 09:40:00,2025-11-09 11:15:00,BUY,2551.897,2567.7871,2863.15,2548.8176,3.0794,691.0,5.0,2473.83,WIN,CHANDELIER,3.58,7.16,13820.09,16293.92
10,2025-11-15 10:05:00,2025-11-15 11:20:00,BUY,2763.23,2763.033,3308.63,2759.828,3.402,814.7,5.0,791.11,WIN,CHANDELIER,0.97,2.44,16293.92,17085.03
11,2025-11-26 17:30:00,2025-11-26 17:40:00,SELL,2546.672,2549.5329,12166.97,2549.5329,2.8609,1366.8,8.0,-1366.8,LOSS,SL,-1.0,0.46,17085.03,15718.22
12,2025-12-27 15:00:00,2025-12-27 15:05:00,BUY,2469.096,2466.2901,6915.68,2466.2901,2.8059,785.91,5.0,-785.91,LOSS,SL,-1.0,0.0,15718.22,14932.31
13,2026-01-01 17:15:00,2026-01-01 19:05:00,SELL,2379.013,2374.6028,1697.71,2382.1517,3.1387,447.97,3.0,762.69,WIN,CHANDELIER,1.7,3.91,14932.31,15695.0
14,2026-01-03 13:15:00,2026-01-03 13:40:00,BUY,2419.743,2420.1589,3612.22,2417.1146,2.6284,784.75,5.0,846.84,WIN,CHANDELIER,1.08,2.66,15695.0,16541.84
