trade_id,open_time,close_time,direction,entry_price,exit_price,stake,sl_price,atr,risk_amount,risk_pct,pnl_usd,result,reason,r_multiple,peak_r,balance_before,balance_after
1,2025-10-22 12:35:00,2025-10-22 12:50:00,SELL,20149.633,20164.2231,6905.26,20164.2231,14.5901,500.0,5.0,-500.0,LOSS,SL,-1.0,0.0,10000.0,9500.0
2,2025-10-29 18:55:00,2025-10-29 19:05:00,SELL,20333.857,20347.2756,7197.92,20347.2756,13.4186,475.0,5.0,-475.0,LOSS,SL,-1.0,0.0,9500.0,9025.0
3,2025-11-01 17:20:00,2025-11-01 17:30:00,SELL,20038.113,20050.1974,4489.54,20050.1974,12.0844,270.75,3.0,-270.75,LOSS,SL,-1.0,0.0,9025.0,8754.25
4,2025-11-19 12:55:00,2025-11-19 13:05:00,SELL,19784.116,19796.6343,4150.61,19796.6343,12.5183,262.63,3.0,-262.63,LOSS,SL,-1.0,0.0,8754.25,8491.62
