time,epoch,open,high,low,close
2026-04-30 06:01:38+00:00,1777528898,4563.22,4564.0,4562.26,4562.26
2026-04-30 06:02:00+00:00,1777528920,4562.45,4564.19,4561.83,4562.01
2026-04-30 06:03:00+00:00,1777528980,4562.0,4567.76,4560.32,4565.82
2026-04-30 06:04:00+00:00,1777529040,4565.99,4566.77,4561.73,4562.23
2026-04-30 06:05:00+00:00,1777529100,4562.16,4564.84,4562.16,4564.23
2026-04-30 06:06:00+00:00,1777529160,4564.15,4565.47,4563.92,4565.1
2026-04-30 06:07:00+00:00,1777529220,4564.88,4565.73,4563.96,4564.63
2026-04-30 06:08:00+00:00,1777529280,4564.63,4565.46,4563.93,4565.11
2026-04-30 06:09:00+00:00,1777529340,4564.75,4566.17,4564.29,4564.67
2026-04-30 06:10:00+00:00,1777529400,4565.18,4566.0,4563.06,4563.62
2026-04-30 06:11:00+00:00,1777529460,4564.0,4564.9,4563.15,4563.59
2026-04-30 06:12:00+00:00,1777529520,4563.43,4565.33,4563.43,4564.97
2026-04-30 06:13:00+00:00,1777529580,4564.96,4567.22,4564.73,4565.92
2026-04-30 06:14:00+00:00,1777529640,4565.66,4567.57,4565.56,4566.54
2026-04-30 06:15:00+00:00,1777529700,4566.2,4566.8,4564.94,4565.69
2026-04-30 06:16:00+00:00,1777529760,4565.71,4566.01,4564.23,4564.61
2026-04-30 06:17:00+00:00,1777529820,4564.18,4566.81,4563.76,4566.81
2026-04-30 06:18:00+00:00,1777529880,4566.55,4568.14,4566.01,4566.01
2026-04-30 06:19:00+00:00,1777529940,4566.02,4567.48,4565.97,4567.1
2026-04-30 06:20:00+00:00,1777530000,4567.09,4567.79,4566.24,4567.79
2026-04-30 06:21:00+00:00,1777530060,4568.07,4568.41,4567.33,4567.39
2026-04-30 06:22:00+00:00,1777530120,4567.3,4567.68,4565.9,4567.65
2026-04-30 06:23:00+00:00,1777530180,4567.56,4568.32,4567.4,4568.32
2026-04-30 06:24:00+00:00,1777530240,4568.46,4571.07,4567.82,4570.97
2026-04-30 06:25:00+00:00,1777530300,4570.98,4570.98,4568.69,4570.53
2026-04-30 06:26:00+00:00,1777530360,4570.53,4570.98,4567.41,4567.5
2026-04-30 06:27:00+00:00,1777530420,4567.4,4568.87,4567.16,4568.87
2026-04-30 06:28:00+00:00,1777530480,4568.96,4570.0,4568.25,4569.95
2026-04-30 06:29:00+00:00,1777530540,4569.95,4570.81,4568.99,4569.57
2026-04-30 06:30:00+00:00,1777530600,4569.57,4572.41,4569.57,4572.41
2026-04-30 06:31:00+00:00,1777530660,4572.33,4574.77,4571.87,4574.29
2026-04-30 06:32:00+00:00,1777530720,4574.57,4577.85,4574.2,4577.41
2026-04-30 06:33:00+00:00,1777530780,4577.15,4577.68,4574.81,4577.08
2026-04-30 06:34:00+00:00,1777530840,4576.94,4577.96,4576.36,4577.29
2026-04-30 06:35:00+00:00,1777530900,4577.06,4578.4,4576.05,4576.05
2026-04-30 06:36:00+00:00,1777530960,4576.12,4578.25,4575.65,4578.03
2026-04-30 06:37:00+00:00,1777531020,4577.86,4578.12,4576.62,4576.62
2026-04-30 06:38:00+00:00,1777531080,4576.67,4577.21,4575.64,4576.4
2026-04-30 06:39:00+00:00,1777531140,4576.58,4577.4,4575.55,4575.62
2026-04-30 06:40:00+00:00,1777531200,4575.56,4575.59,4572.58,4572.77
2026-04-30 06:41:00+00:00,1777531260,4572.76,4574.99,4572.25,4574.86
2026-04-30 06:42:00+00:00,1777531320,4573.84,4575.16,4573.41,4574.81
2026-04-30 06:43:00+00:00,1777531380,4574.75,4575.23,4574.05,4575.06
2026-04-30 06:44:00+00:00,1777531440,4574.85,4575.28,4574.36,4575.28
2026-04-30 06:45:00+00:00,1777531500,4575.3,4576.74,4575.01,4576.59
2026-04-30 06:46:00+00:00,1777531560,4576.66,4577.89,4576.21,4577.29
2026-04-30 06:47:00+00:00,1777531620,4576.85,4577.08,4575.8,4576.98
2026-04-30 06:48:00+00:00,1777531680,4576.85,4577.52,4576.34,4577.52
2026-04-30 06:49:00+00:00,1777531740,4577.52,4579.2,4577.52,4578.31
2026-04-30 06:50:00+00:00,1777531800,4578.37,4579.53,4578.08,4579.44
2026-04-30 06:51:00+00:00,1777531860,4579.63,4580.38,4579.31,4580.28
2026-04-30 06:52:00+00:00,1777531920,4580.27,4583.21,4580.13,4582.25
2026-04-30 06:53:00+00:00,1777531980,4582.18,4582.29,4580.55,4580.79
2026-04-30 06:54:00+00:00,1777532040,4580.82,4584.02,4580.82,4583.83
2026-04-30 06:55:00+00:00,1777532100,4583.88,4586.78,4583.77,4585.83
2026-04-30 06:56:00+00:00,1777532160,4585.8,4586.11,4584.92,4585.5
2026-04-30 06:57:00+00:00,1777532220,4585.47,4588.73,4585.47,4588.73
2026-04-30 06:58:00+00:00,1777532280,4588.75,4591.15,4588.54,4589.44
2026-04-30 06:59:00+00:00,1777532340,4589.45,4591.42,4588.97,4589.6
2026-04-30 07:00:00+00:00,1777532400,4589.56,4590.93,4587.8,4588.88
2026-04-30 07:01:00+00:00,1777532460,4588.86,4590.49,4588.14,4589.56
2026-04-30 07:02:00+00:00,1777532520,4589.01,4589.01,4586.99,4587.69
2026-04-30 07:03:00+00:00,1777532580,4587.68,4588.85,4586.96,4587.02
2026-04-30 07:04:00+00:00,1777532640,4586.98,4588.25,4586.52,4586.63
2026-04-30 07:05:00+00:00,1777532700,4586.35,4591.09,4586.35,4589.3
2026-04-30 07:06:00+00:00,1777532760,4588.84,4592.47,4588.56,4592.29
