time,epoch,open,high,low,close
2025-05-05 00:00:00+00:00,1746403200,955.5,955.5,953.0,953.5
2025-05-05 01:00:00+00:00,1746406800,953.5,958.19,953.5,955.49
2025-05-05 02:00:00+00:00,1746410400,955.49,959.58,955.0,958.77
2025-05-05 03:00:00+00:00,1746414000,958.77,959.88,957.26,958.03
2025-05-05 04:00:00+00:00,1746417600,958.03,959.24,957.64,957.84
2025-05-05 05:00:00+00:00,1746421200,957.84,960.19,957.5,958.89
2025-05-05 06:00:00+00:00,1746424800,958.89,963.87,958.79,963.7
2025-05-05 07:00:00+00:00,1746428400,963.7,964.43,961.95,962.82
2025-05-05 08:00:00+00:00,1746432000,962.82,964.62,962.54,963.51
2025-05-05 09:00:00+00:00,1746435600,963.51,965.45,962.28,963.96
2025-05-05 10:00:00+00:00,1746439200,963.96,965.06,962.36,963.58
2025-05-05 11:00:00+00:00,1746442800,963.58,965.02,960.09,960.09
2025-05-05 12:00:00+00:00,1746446400,960.09,961.23,954.65,955.42
2025-05-05 13:00:00+00:00,1746450000,955.42,956.6,947.32,949.75
2025-05-05 14:00:00+00:00,1746453600,949.75,949.75,944.87,945.0
2025-05-05 15:00:00+00:00,1746457200,945.25,947.28,942.45,945.28
2025-05-05 16:00:00+00:00,1746460800,945.3,946.76,943.42,943.42
2025-05-05 17:00:00+00:00,1746464400,943.42,943.42,940.89,941.5
2025-05-05 18:00:00+00:00,1746468000,941.52,942.93,940.45,941.66
2025-05-05 19:00:00+00:00,1746471600,941.66,946.08,941.66,945.25
2025-05-05 20:00:00+00:00,1746475200,945.57,946.75,944.67,945.93
2025-05-05 22:00:00+00:00,1746482400,943.93,947.8,942.28,946.38
2025-05-05 23:00:00+00:00,1746486000,946.31,947.59,943.73,946.76
2025-05-06 00:00:00+00:00,1746489600,946.6,948.09,942.98,947.77
2025-05-06 01:00:00+00:00,1746493200,947.77,951.98,947.77,950.16
2025-05-06 02:00:00+00:00,1746496800,950.16,951.52,949.11,950.06
2025-05-06 03:00:00+00:00,1746500400,950.06,952.72,948.67,952.41
2025-05-06 04:00:00+00:00,1746504000,952.4,953.25,950.55,950.73
2025-05-06 05:00:00+00:00,1746507600,950.73,952.28,948.14,948.4
2025-05-06 06:00:00+00:00,1746511200,948.4,950.6,948.08,950.47
2025-05-06 07:00:00+00:00,1746514800,950.47,953.13,949.32,952.04
2025-05-06 08:00:00+00:00,1746518400,952.04,954.52,951.93,954.26
2025-05-06 09:00:00+00:00,1746522000,953.84,954.37,951.54,953.56
2025-05-06 10:00:00+00:00,1746525600,953.56,953.93,951.57,952.88
2025-05-06 11:00:00+00:00,1746529200,952.87,954.61,952.62,953.03
2025-05-06 12:00:00+00:00,1746532800,953.03,960.4,953.03,960.4
2025-05-06 13:00:00+00:00,1746536400,960.55,968.54,960.55,963.59
2025-05-06 14:00:00+00:00,1746540000,963.65,969.1,963.01,966.56
2025-05-06 15:00:00+00:00,1746543600,966.61,975.57,965.88,975.17
2025-05-06 16:00:00+00:00,1746547200,975.17,979.29,973.46,976.03
2025-05-06 17:00:00+00:00,1746550800,976.12,978.73,974.35,975.53
2025-05-06 18:00:00+00:00,1746554400,975.66,977.59,974.63,976.96
2025-05-06 19:00:00+00:00,1746558000,976.96,976.96,975.23,976.37
2025-05-06 20:00:00+00:00,1746561600,976.37,977.06,975.5,976.13
2025-05-06 22:00:00+00:00,1746568800,978.02,980.66,976.4,977.86
2025-05-06 23:00:00+00:00,1746572400,977.9,977.95,975.91,977.55
2025-05-07 00:00:00+00:00,1746576000,977.55,977.65,973.5,976.14
2025-05-07 01:00:00+00:00,1746579600,976.14,976.74,972.59,975.0
2025-05-07 02:00:00+00:00,1746583200,975.0,975.0,969.66,970.5
2025-05-07 03:00:00+00:00,1746586800,970.5,971.5,969.41,970.99
2025-05-07 04:00:00+00:00,1746590400,970.99,972.25,970.35,971.13
2025-05-07 05:00:00+00:00,1746594000,971.13,974.0,970.5,973.37
2025-05-07 06:00:00+00:00,1746597600,973.35,975.99,971.99,972.9
2025-05-07 07:00:00+00:00,1746601200,971.84,975.86,971.52,975.35
2025-05-07 08:00:00+00:00,1746604800,975.35,980.97,975.3,977.63
2025-05-07 09:00:00+00:00,1746608400,977.63,978.88,974.6,977.3
2025-05-07 10:00:00+00:00,1746612000,977.33,981.68,977.22,981.11
2025-05-07 11:00:00+00:00,1746615600,981.11,985.36,979.8,984.58
2025-05-07 12:00:00+00:00,1746619200,984.65,987.08,980.7,982.89
