time,epoch,open,high,low,close
2025-05-05 00:00:00+00:00,1746403200,32.064,32.064,32.003,32.0155
2025-05-05 01:00:00+00:00,1746406800,32.0155,32.1375,32.0085,32.0445
2025-05-05 02:00:00+00:00,1746410400,32.0445,32.1896,31.9971,32.157
2025-05-05 03:00:00+00:00,1746414000,32.159,32.2028,32.1142,32.148
2025-05-05 04:00:00+00:00,1746417600,32.148,32.2096,32.1275,32.209
2025-05-05 05:00:00+00:00,1746421200,32.209,32.313,32.2056,32.2855
2025-05-05 06:00:00+00:00,1746424800,32.2855,32.4563,32.2838,32.4243
2025-05-05 07:00:00+00:00,1746428400,32.4275,32.428,32.309,32.3205
2025-05-05 08:00:00+00:00,1746432000,32.3205,32.4171,32.3125,32.4077
2025-05-05 09:00:00+00:00,1746435600,32.4098,32.4345,32.3625,32.4249
2025-05-05 10:00:00+00:00,1746439200,32.425,32.4663,32.3525,32.4211
2025-05-05 11:00:00+00:00,1746442800,32.4211,32.482,32.3382,32.3955
2025-05-05 12:00:00+00:00,1746446400,32.3955,32.6521,32.344,32.6156
2025-05-05 13:00:00+00:00,1746450000,32.605,32.6692,32.3265,32.3555
2025-05-05 14:00:00+00:00,1746453600,32.3664,32.394,32.2355,32.2855
2025-05-05 15:00:00+00:00,1746457200,32.2855,32.3523,32.2133,32.2735
2025-05-05 16:00:00+00:00,1746460800,32.2735,32.3518,32.1645,32.2783
2025-05-05 17:00:00+00:00,1746464400,32.2782,32.3555,32.27,32.315
2025-05-05 18:00:00+00:00,1746468000,32.3168,32.3753,32.295,32.34
2025-05-05 19:00:00+00:00,1746471600,32.34,32.491,32.34,32.3995
2025-05-05 20:00:00+00:00,1746475200,32.4283,32.49,32.3973,32.4853
2025-05-05 22:00:00+00:00,1746482400,32.4925,32.5215,32.4388,32.4798
2025-05-05 23:00:00+00:00,1746486000,32.4798,32.5269,32.479,32.515
2025-05-06 00:00:00+00:00,1746489600,32.515,32.6995,32.4862,32.661
2025-05-06 01:00:00+00:00,1746493200,32.661,33.0255,32.661,33.0171
2025-05-06 02:00:00+00:00,1746496800,33.0166,33.043,32.9717,33.0123
2025-05-06 03:00:00+00:00,1746500400,33.0138,33.08,32.9685,33.0704
2025-05-06 04:00:00+00:00,1746504000,33.0704,33.1225,33.0538,33.0742
2025-05-06 05:00:00+00:00,1746507600,33.0742,33.097,32.9595,33.001
2025-05-06 06:00:00+00:00,1746511200,33.001,33.0698,32.9522,33.0065
2025-05-06 07:00:00+00:00,1746514800,33.0046,33.1654,32.9967,33.0482
2025-05-06 08:00:00+00:00,1746518400,33.0488,33.0765,32.874,33.0271
2025-05-06 09:00:00+00:00,1746522000,33.0271,33.092,32.9308,33.0908
2025-05-06 10:00:00+00:00,1746525600,33.091,33.0923,32.9676,33.018
2025-05-06 11:00:00+00:00,1746529200,33.018,33.1285,32.9978,33.0955
2025-05-06 12:00:00+00:00,1746532800,33.0945,33.206,33.0148,33.088
2025-05-06 13:00:00+00:00,1746536400,33.088,33.235,33.0265,33.136
2025-05-06 14:00:00+00:00,1746540000,33.1397,33.2337,33.0347,33.1155
2025-05-06 15:00:00+00:00,1746543600,33.1155,33.197,33.02,33.0345
2025-05-06 16:00:00+00:00,1746547200,33.0345,33.1885,32.9931,33.1553
2025-05-06 17:00:00+00:00,1746550800,33.1553,33.2049,33.088,33.1572
2025-05-06 18:00:00+00:00,1746554400,33.1572,33.1795,33.1168,33.178
2025-05-06 19:00:00+00:00,1746558000,33.179,33.241,33.1587,33.2295
2025-05-06 20:00:00+00:00,1746561600,33.2295,33.2443,33.1735,33.2228
