strategy,h1_ema,spike_mult,hold,dir,session,regime,n,wr,pf,avg_r,oos_pf,months,tpm,m5_ema,zone_atr
SPIKE,50,3.0,18,BUY,False,counter,32,0.5,2.0785,0.53925,3.085666666666667,9,3.5555555555555554,,
SPIKE,21,2.5,12,BUY,True,counter,24,0.5,2.0574166666666662,0.5287083333333332,10.657999999999998,9,2.6666666666666665,,
SPIKE,21,3.0,18,BOTH,True,counter,23,0.5217391304347826,2.0496363636363637,0.502,3.9760000000000004,9,2.5555555555555554,,
SPIKE,14,2.5,18,BUY,True,counter,18,0.5,1.9897777777777779,0.49488888888888877,2.59,6,3.0,,
SPIKE,50,3.0,48,BOTH,True,counter,30,0.5,1.986,0.49300000000000005,1.8280000000000003,9,3.3333333333333335,,
SPIKE,50,3.0,36,BOTH,True,counter,30,0.5,1.9760666666666666,0.4880333333333334,1.8280000000000003,9,3.3333333333333335,,
SPIKE,21,3.5,12,BOTH,False,counter,15,0.4666666666666667,1.9729999999999999,0.5189333333333332,0.0,8,1.875,,
SPIKE,21,2.5,36,BUY,True,counter,24,0.5,1.9671666666666667,0.48358333333333325,8.24,9,2.6666666666666665,,
SPIKE,21,2.5,24,BUY,True,counter,24,0.5,1.9595,0.47974999999999995,8.24,9,2.6666666666666665,,
SPIKE,21,3.5,36,BOTH,False,counter,15,0.4666666666666667,1.92925,0.4956000000000001,0.0,8,1.875,,
SPIKE,21,2.5,48,BUY,True,counter,24,0.5,1.9276666666666669,0.4638333333333333,8.24,9,2.6666666666666665,,
SPIKE,21,3.0,12,BOTH,False,counter,34,0.47058823529411764,1.924166666666667,0.4892647058823529,1.8478,10,3.4,,
SPIKE,21,3.0,36,BOTH,False,counter,34,0.47058823529411764,1.907611111111111,0.4805,1.4624000000000001,10,3.4,,
SPIKE,21,3.0,24,BOTH,False,counter,34,0.47058823529411764,1.9025000000000003,0.47779411764705887,1.4624000000000001,10,3.4,,
SPIKE,21,3.5,48,BOTH,False,counter,15,0.4666666666666667,1.8946249999999998,0.47713333333333335,0.0,8,1.875,,
SPIKE,50,3.0,24,BOTH,True,counter,30,0.5,1.890866666666667,0.4454333333333334,1.8280000000000003,9,3.3333333333333335,,
