time,epoch,open,high,low,close
2026-04-30 06:01:48+00:00,1777528908,1.16605,1.16605,1.16604,1.16605
2026-04-30 06:02:00+00:00,1777528920,1.16604,1.16631,1.16604,1.1662
2026-04-30 06:03:00+00:00,1777528980,1.1662,1.1662,1.1661,1.16613
2026-04-30 06:04:00+00:00,1777529040,1.16612,1.1662,1.1661,1.1662
2026-04-30 06:05:00+00:00,1777529100,1.1662,1.16631,1.1662,1.16626
2026-04-30 06:06:00+00:00,1777529160,1.16626,1.16636,1.16626,1.16635
2026-04-30 06:07:00+00:00,1777529220,1.16636,1.16647,1.16635,1.16646
2026-04-30 06:08:00+00:00,1777529280,1.16646,1.16653,1.16646,1.16646
2026-04-30 06:09:00+00:00,1777529340,1.1664,1.16646,1.16634,1.16634
2026-04-30 06:10:00+00:00,1777529400,1.16634,1.16634,1.16601,1.16601
2026-04-30 06:11:00+00:00,1777529460,1.16602,1.16604,1.16584,1.16584
2026-04-30 06:12:00+00:00,1777529520,1.16584,1.16596,1.16579,1.16594
2026-04-30 06:13:00+00:00,1777529580,1.16593,1.16605,1.16593,1.16604
2026-04-30 06:14:00+00:00,1777529640,1.16605,1.16609,1.166,1.16609
2026-04-30 06:15:00+00:00,1777529700,1.16607,1.16618,1.16601,1.16612
2026-04-30 06:16:00+00:00,1777529760,1.16613,1.16619,1.1661,1.16617
2026-04-30 06:17:00+00:00,1777529820,1.16612,1.16613,1.16605,1.16607
2026-04-30 06:18:00+00:00,1777529880,1.16607,1.16618,1.16603,1.16615
2026-04-30 06:19:00+00:00,1777529940,1.16615,1.16626,1.16606,1.16626
2026-04-30 06:20:00+00:00,1777530000,1.16625,1.16629,1.16618,1.16627
2026-04-30 06:21:00+00:00,1777530060,1.16628,1.16641,1.16628,1.16631
2026-04-30 06:22:00+00:00,1777530120,1.1663,1.16632,1.16625,1.16631
2026-04-30 06:23:00+00:00,1777530180,1.16631,1.16646,1.1663,1.16645
2026-04-30 06:24:00+00:00,1777530240,1.16645,1.16648,1.16639,1.16647
2026-04-30 06:25:00+00:00,1777530300,1.16647,1.16647,1.1664,1.16645
2026-04-30 06:26:00+00:00,1777530360,1.16646,1.16655,1.16644,1.16645
2026-04-30 06:27:00+00:00,1777530420,1.16644,1.16661,1.16644,1.16659
2026-04-30 06:28:00+00:00,1777530480,1.16659,1.16659,1.16654,1.16658
2026-04-30 06:29:00+00:00,1777530540,1.16656,1.16657,1.16646,1.16656
2026-04-30 06:30:00+00:00,1777530600,1.16656,1.16665,1.16656,1.16665
2026-04-30 06:31:00+00:00,1777530660,1.16665,1.16674,1.16664,1.1667
2026-04-30 06:32:00+00:00,1777530720,1.16672,1.16691,1.16671,1.16691
2026-04-30 06:33:00+00:00,1777530780,1.16691,1.16698,1.16687,1.16694
2026-04-30 06:34:00+00:00,1777530840,1.16691,1.16702,1.16687,1.16693
2026-04-30 06:35:00+00:00,1777530900,1.16691,1.167,1.16685,1.16689
2026-04-30 06:36:00+00:00,1777530960,1.16689,1.16694,1.16685,1.16691
2026-04-30 06:37:00+00:00,1777531020,1.16689,1.16695,1.16677,1.16683
2026-04-30 06:38:00+00:00,1777531080,1.16685,1.16689,1.1668,1.16685
2026-04-30 06:39:00+00:00,1777531140,1.16685,1.16689,1.16679,1.16681
2026-04-30 06:40:00+00:00,1777531200,1.16681,1.16681,1.16664,1.16669
2026-04-30 06:41:00+00:00,1777531260,1.16669,1.16674,1.16658,1.16662
2026-04-30 06:42:00+00:00,1777531320,1.16663,1.16663,1.16655,1.16661
2026-04-30 06:43:00+00:00,1777531380,1.16661,1.16669,1.1666,1.16669
2026-04-30 06:44:00+00:00,1777531440,1.16669,1.16678,1.16668,1.16678
2026-04-30 06:45:00+00:00,1777531500,1.16678,1.16686,1.16664,1.16677
2026-04-30 06:46:00+00:00,1777531560,1.16679,1.16683,1.16669,1.16683
2026-04-30 06:47:00+00:00,1777531620,1.16681,1.16681,1.16673,1.16675
2026-04-30 06:48:00+00:00,1777531680,1.16675,1.16681,1.16666,1.16681
2026-04-30 06:49:00+00:00,1777531740,1.16681,1.16683,1.16675,1.16679
2026-04-30 06:50:00+00:00,1777531800,1.1668,1.16693,1.16673,1.1669
2026-04-30 06:51:00+00:00,1777531860,1.16691,1.16695,1.16685,1.16692
2026-04-30 06:52:00+00:00,1777531920,1.16692,1.16697,1.1669,1.16697
2026-04-30 06:53:00+00:00,1777531980,1.16697,1.16701,1.16693,1.16693
2026-04-30 06:54:00+00:00,1777532040,1.16692,1.16701,1.16687,1.16701
2026-04-30 06:55:00+00:00,1777532100,1.16701,1.16705,1.1669,1.16692
2026-04-30 06:56:00+00:00,1777532160,1.16692,1.16692,1.16681,1.16682
2026-04-30 06:57:00+00:00,1777532220,1.16681,1.16695,1.16681,1.16688
2026-04-30 06:58:00+00:00,1777532280,1.16688,1.16699,1.16688,1.16694
2026-04-30 06:59:00+00:00,1777532340,1.1669,1.16706,1.16687,1.16704
2026-04-30 07:00:00+00:00,1777532400,1.16704,1.16726,1.16704,1.16718
2026-04-30 07:01:00+00:00,1777532460,1.1672,1.16739,1.16716,1.16736
2026-04-30 07:02:00+00:00,1777532520,1.16734,1.1674,1.1672,1.16735
2026-04-30 07:03:00+00:00,1777532580,1.16734,1.16741,1.1673,1.1673
2026-04-30 07:04:00+00:00,1777532640,1.16729,1.16735,1.16727,1.16729
2026-04-30 07:05:00+00:00,1777532700,1.16728,1.16741,1.16726,1.16726
2026-04-30 07:06:00+00:00,1777532760,1.16722,1.16738,1.16719,1.16736
2026-04-30 07:07:00+00:00,1777532820,1.16736,1.16742,1.16735,1.1674
2026-04-30 07:08:00+00:00,1777532880,1.1674,1.16751,1.1674,1.1675
2026-04-30 07:09:00+00:00,1777532940,1.16751,1.16765,1.16751,1.16759
2026-04-30 07:10:00+00:00,1777533000,1.16758,1.16785,1.16755,1.16783
2026-04-30 07:11:00+00:00,1777533060,1.16783,1.1679,1.16775,1.16786
2026-04-30 07:12:00+00:00,1777533120,1.16785,1.16786,1.1678,1.16783
2026-04-30 07:13:00+00:00,1777533180,1.16781,1.16796,1.16779,1.16791
2026-04-30 07:14:00+00:00,1777533240,1.1679,1.16809,1.16783,1.16807
2026-04-30 07:15:00+00:00,1777533300,1.16806,1.16806,1.16787,1.16788
2026-04-30 07:16:00+00:00,1777533360,1.16789,1.168,1.16784,1.16796
2026-04-30 07:17:00+00:00,1777533420,1.16796,1.16799,1.16785,1.16789
2026-04-30 07:18:00+00:00,1777533480,1.1679,1.16798,1.1679,1.16793
2026-04-30 07:19:00+00:00,1777533540,1.16793,1.16794,1.16779,1.16779
